Field of View,Cell ID,X,Y,Region
4,16,1748.3,593.4,Cortex
4,17,1142.4,641.94,Cortex
4,18,1401.1,664.95,Cortex
4,19,594.37,678.13,Cortex
4,20,1462.6,694.32,Cortex
4,21,912.72,702.49,Cortex
4,22,979.93,787.12,Cortex
4,23,572.9,779.29,Cortex
4,24,1199.9,799.52,Cortex
4,25,1052.5,858.53,Cortex
4,26,1476.8,883.76,Cortex
4,27,1025.6,907.36,Cortex
4,28,1694.6,927.21,Cortex
4,29,756.22,931.75,Cortex
4,30,1346.7,921.01,Cortex
4,31,1015,963.72,Cortex
4,32,1214.2,976.64,Cortex
4,33,1511,1013.1,Cortex
4,34,1704.5,1072.9,Cortex
4,35,514.98,1070,Cortex
4,36,1140.8,1085.8,Cortex
4,37,360.99,1112.3,Cortex
4,38,1457.5,1133.4,Cortex
4,39,723.69,1137.1,Cortex
4,40,548.96,1178,Cortex
4,41,401.67,1186.7,Cortex
4,42,1751,1181.5,Cortex
4,43,649.14,1187.4,Cortex
4,44,590.47,1230.9,Cortex
4,45,1389.3,1260.8,Cortex
4,46,704.43,1265.8,Cortex
4,47,650.71,1274.1,Cortex
4,48,433.74,1281.7,Cortex
4,49,357.85,1335.5,Cortex
4,50,1526.8,1335.1,Cortex
4,51,748.14,1349.5,Cortex
4,52,611.71,1394.1,Cortex
4,53,1659.9,1433.7,Cortex
4,54,1058.5,1443.8,Cortex
4,55,1473.4,1441.7,Cortex
4,56,1352.4,1463.7,Cortex
4,57,1212.3,1473.5,Cortex
4,58,566.57,1489.8,Cortex
4,59,458.62,1505.2,Cortex
4,60,1568.4,1597.5,Cortex
4,61,1077.3,1600.3,Cortex
4,62,1467,1663,Cortex
4,63,1197.6,1671.7,Cortex
4,64,874.41,380.91,Cortex
4,65,937.71,418.1,Cortex
4,66,516.36,460.09,Cortex
4,67,501.54,549.3,Cortex
4,68,1174.3,549.17,Cortex
4,69,1237.7,565.2,Cortex
4,70,1055.9,578.53,Cortex
4,71,806.82,595.74,Cortex
4,72,1270.6,676.58,Cortex
4,73,1335,809.99,Cortex
4,74,1562.7,1098.3,Cortex
4,75,1059.2,1135.8,Cortex
4,76,932.93,1213.5,Cortex
4,77,1544,1241.6,Cortex
4,78,1081,1280.7,Cortex
4,79,847.99,1286.6,Cortex
4,80,639.03,1320,Cortex
4,81,1591.6,1402.9,Cortex
4,82,1749.5,1407.3,Cortex
4,83,1638.8,1512.5,Cortex
4,84,890.9,1517,Cortex
4,85,759.11,1549.9,Cortex
4,86,650.84,1561.3,Cortex
4,87,1727.9,1546.3,Cortex
4,88,872.21,1595.3,Cortex
4,89,767.46,1663.4,Cortex
4,90,401.07,396.26,Cortex
4,91,258.56,955.12,Cortex
4,92,230.15,1139.9,Cortex
4,93,1957.4,1157.5,Cortex
4,94,197.26,1435.4,Cortex
4,95,435.9,1670.1,Cortex
4,96,471.56,1766.3,Cortex
4,97,639.25,1774.4,Cortex
4,98,1129.9,1821.6,Cortex
4,99,296.98,1871,Cortex
4,100,456.62,1881.5,Cortex
4,101,1055.6,1903.3,Cortex
5,1,1318.4,438.57,Cortex
5,2,1266.6,443.21,SVZ
5,3,874.55,685.41,SVZ
5,4,838.26,765,SVZ
5,5,664.49,777.48,SVZ
5,6,542.23,855.84,SVZ
5,7,570.19,879.8,SVZ
5,8,614.6,902.81,SVZ
5,9,1846.1,960.08,SVZ
5,10,1359.5,968.53,SVZ
5,11,575.12,976.99,SVZ
5,12,1386.1,980.5,SVZ
